First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
2 Albert Den,Aberdeen,AB25 1YX,Midstocket/Rosemount,2,2,1,750,75,Flat,CT Band E,EPC band C,Parking,-2.117279,57.1461223
3c Anderson Drive,Aberdeen,AB15 4ST,Airyhall/Broomhill/Garthdee,2,2,1,750,82,Flat,CT Band E,EPC band C,Parking,-2.134405992,57.13363112
11 Cypress Avenue,Aberdeen,AB23 8LA,Bridge of Don,2,1,1,625,69,House Semi Detached,CT Band C,EPC band C,Parking,-2.1005885,57.1994854
"First Floor Left,  31 Bank Street",Aberdeen,AB11 7TA,Torry/Ferryhill,1,1,1,475,46,Flat,CT Band B,EPC band C,Parking,-2.1005327,57.1380159
66 Ashgrove Road,Aberdeen,AB25 3AD,Midstocket/Rosemount,2,1,1,550,53,Flat,CT Band B,EPC band D,,-2.1190668,57.1587937
124e North Deeside Road,Aberdeen,AB14 0RS,Lower Deeside,2,2,1,695,72,Flat,CT Band E,EPC band B,Parking,-2.2636539,57.09612
"36 Dempsey Court, Queens Lane North",Aberdeen,AB15 4DY,Hazlehead/Queens Cross/Countesswells,2,2,1,1100,86,Flat,CT Band F,EPC band C,Parking,-2.1296858,57.1434534
"Basement Flat Left,  164 Crown Street",Aberdeen,AB11 6JB,Torry/Ferryhill,2,1,1,495,56,Flat,CT Band B,EPC band C,,-2.101012,57.1403439
"Flat G,  54 Charlotte Street",Aberdeen,AB25 1LT,George St/Harbour,2,1,1,525,56,Flat,CT Band D,EPC band C,Parking,-2.10447254,57.15133109
19B Whitehouse Street,Aberdeen,AB10 1QJ,Midstocket/Rosemount,2,1,1,550,74,Flat,CT Band D,EPC band E,,-2.111434,57.146558
180 Great Western Road,Aberdeen,AB10 6PB,Hazlehead/Queens Cross/Countesswells,2,1,1,550,59,Flat,CT Band C,EPC band D,,-2.1201827,57.1374676
67 Mary Elmslie Court,Aberdeen,AB24 5BS,George St/Harbour,2,1,1,550,58,Flat,CT Band E,EPC band C,Parking,-2.092387,57.155907
9 Northfield Place,Aberdeen,AB25 1SB,Midstocket/Rosemount,1,1,1,395,38,Flat,CT Band B,EPC band D,,-2.113521,57.147894
14 Callum Wynd,Aberdeen,AB15 8XL,Kingswells/Sheddocksley/Summerhill,3,2,2,850,87,House Detached,CT Band F,EPC band D,,-2.2284622,57.1595697
38 Ferguson Court,Aberdeen,AB21 9AG,Dyce/Bucksburn/Danestone,2,1,1,525,55,Flat,CT Band B,EPC band E,Parking,-2.1686741,57.1778083
"61 College Gardens,  Littlejohn Street",Aberdeen,AB10 1FL,George St/Harbour,2,1,1,650,57,Flat,CT Band D,EPC band D,Parking,-2.0961592,57.1496834
22 Hartington Road,Aberdeen,AB10 6YA,Hazlehead/Queens Cross/Countesswells,1,1,1,425,38,Flat,CT Band B,EPC band D,,-2.1230557,57.1410315
"Top Floor Right,  11 Commerce Street",Aberdeen,AB11 5EU,George St/Harbour,1,1,1,375,30,Flat,CT Band A,EPC band F,,-2.0876496,57.1470459
"TFR,  53 Claremont Grove",Aberdeen,AB10 6RF,Hazlehead/Queens Cross/Countesswells,2,1,1,550,78,Flat,CT Band D,EPC band D,Parking,-2.1210778,57.1391735
54 Urquhart Terrace,Aberdeen,AB24 5NJ,George St/Harbour,2,1,1,450,64,Flat,CT Band C,EPC band C,Parking,-2.087426,57.155192
67 Bon Accord Street,Aberdeen,AB11 6EB,Torry/Ferryhill,1,1,1,400,37,Flat,CT Band A,EPC band E,,-2.105113,57.1426548
16 Overhills Walk,Aberdeen,AB21 9UZ,Dyce/Bucksburn/Danestone,3,1,2,850,67,House Terraced,CT Band C,EPC band C,Parking,-2.1913594,57.1731495
"GFR,  536 Great Western Road",Aberdeen,AB10 6PG,Airyhall/Broomhill/Garthdee,1,1,1,450,47,Flat,CT Band B,EPC band C,Parking,-2.1382125,57.1312323
"Top Floor,  16 Sunnybank Place",Aberdeen,AB24 3LA,George St/Harbour,4,2,1,960,34,Flat,CT Band D,EPC band C,,-2.1064093,57.1590443
123 Lee Crescent North,Aberdeen,AB22 8FQ,Bridge of Don,2,1,1,675,72,House Semi Detached,CT Band C,EPC band C,Parking,-2.1317964,57.1960235
"43 Nelson Court,  King Street",Aberdeen,AB24 5BF,George St/Harbour,1,1,1,450,39,Flat,CT Band B,EPC band C,Parking,-2.0953615,57.1557155
25 Wallfield Place,Aberdeen,AB25 2JR,Midstocket/Rosemount,1,1,1,500,48,Flat,CT Band A,EPC band C,,-2.1203615,57.1484377
19 Wallacebrae Avenue,Aberdeen,AB22 8XL,Dyce/Bucksburn/Danestone,2,1,1,650,49,House Semi Detached,CT Band C,EPC band C,Parking,-2.1428648,57.1813052
44 Roslin Place,Aberdeen,AB24 5BL,George St/Harbour,2,1,1,550,57,Flat,CT Band C,EPC band B,Parking,-2.0882405,57.1531966
"Second Floor Left,  173 Victoria Road",Aberdeen,AB11 9ND,Torry/Ferryhill,1,1,1,375,51,Flat,CT Band A,EPC band D,,-2.084241,57.13588
102 Bedford Road,Aberdeen,AB24 3LQ,Tillydrone/Seaton/Old Aberdeen,3,1,1,750,66,Flat,CT Band B,EPC band D,,-2.1068124,57.164299
"9 Ruthrieston Court,  Riverside Drive",Aberdeen,AB10 7QF,Torry/Ferryhill,2,1,1,650,58,Flat,CT Band D,EPC band C,Parking,-2.1173263,57.1275973
20 Queens Avenue,Aberdeen,AB15 6WA,Hazlehead/Queens Cross/Countesswells,3,3,1,950,112,Flat,CT Band E,EPC band C,Parking,-2.1457334,57.1401084
"2 Cothill Cottages,  Grandhome Estate",Aberdeen,AB22 8AR,Dyce/Bucksburn/Danestone,3,1,1,750,73,House Detached,CT Band E,EPC band E,Parking,-2.1606397,57.19777
"Flat 7, Ogilvie Buildings,  77 Dee Street",Aberdeen,AB11 6FF,Torry/Ferryhill,1,1,1,450,54,Flat,CT Band C,EPC band D,,-2.102821,57.1420221
7 Seaton Stables,Aberdeen,AB24 1XS,Tillydrone/Seaton/Old Aberdeen,3,2,1,745,92,House Semi Detached,CT Band E,EPC band D,Parking,-2.0990425,57.1746391
"Flat D,  19 Sunnybank Road",Aberdeen,AB24 3NJ,George St/Harbour,1,1,1,425,48,Flat,CT Band B,EPC band C,Parking,-2.1015996,57.159882
58F Baker Street,Aberdeen,AB25 1UT,Midstocket/Rosemount,1,1,1,400,33,Flat,CT Band A,EPC band D,,-2.11022,57.149424
3 Mount Street,Aberdeen,AB25 2RA,Midstocket/Rosemount,2,1,1,750,94,Flat,CT Band E,EPC band D,Parking,-2.1126829,57.1510355
19 Forest Avenue,Aberdeen,AB15 4TU,Hazlehead/Queens Cross/Countesswells,2,1,1,800,78,Flat,CT Band E,EPC band D,,-2.1276727,57.1359281
"35 Aspire Grove,  36 Claremont Street",Aberdeen,AB10 6RA,Hazlehead/Queens Cross/Countesswells,2,2,1,750,74,Flat,CT Band E,EPC band C,Parking,-2.1201026,57.1395664
"First Floor Left,  77 Leadside Road",Aberdeen,AB25 1RX,Midstocket/Rosemount,1,1,1,425,54,Flat,CT Band B,EPC band C,,-2.1139386,57.1485074
17F Claremont Street,Aberdeen,AB10 6QQ,Hazlehead/Queens Cross/Countesswells,1,1,1,400,41,Flat,CT Band A,EPC band E,,-2.1185216,57.1397451
"Flat E,  678 Great Northern Road",Aberdeen,AB24 2GG,Hilton/Woodside/Stockethill,1,1,1,495,49,Flat,CT Band A,EPC band C,Parking,-2.1306997,57.1720152
"Danestone Cottage East,  122 Fairview Crescent",Aberdeen,AB22 8ZT,Dyce/Bucksburn/Danestone,3,1,1,850,87,House Detached,CT Band D,EPC band D,Parking,-2.1329227,57.1842959
71 Whitehall Road,Aberdeen,AB25 2PQ,Hazlehead/Queens Cross/Countesswells,1,1,1,550,50,Flat,CT Band C,EPC band C,Parking,-2.124964389,57.14644287
58 Bannermill Place,Aberdeen,AB24 5EB,George St/Harbour,2,1,1,650,65,Flat,CT Band D,EPC band C,Parking,-2.0848223,57.151573
113 Spital,Aberdeen,AB24 3HX,George St/Harbour,2,1,1,550,66,Flat,CT Band C,EPC band C,Parking,-2.1002282,57.1598016
"Flat B,  6 Crimon Place",Aberdeen,AB10 1RY,Midstocket/Rosemount,1,1,1,450,45,Flat,CT Band A,EPC band C,Parking,-2.106574,57.146014
"126F Rubislaw Mansions,  Queens Road",Aberdeen,AB15 8BR,Hazlehead/Queens Cross/Countesswells,2,2,1,800,75,Flat,CT Band E,EPC band D,Parking,-2.1460982,57.1392971
25 Mountview Gardens,Aberdeen,AB25 2RT,Midstocket/Rosemount,2,1,1,695,61,Flat,CT Band D,EPC band C,Parking,-2.113348,57.1508856
59 McIntosh Crescent,Aberdeen,AB21 7AF,Dyce/Bucksburn/Danestone,1,1,1,575,74,Flat,CT Band C,EPC band C,Parking,-2.1899837,57.2125904
128D Balmoral Square,Aberdeen,AB10 6QE,Hazlehead/Queens Cross/Countesswells,2,1,1,725,73,Flat,CT Band E,EPC band C,Parking,-2.1104555,57.1337161
53A Rose Street,Aberdeen,AB10 1UB,Midstocket/Rosemount,1,1,1,500,43,Flat,CT Band B,EPC band D,,-2.1118836,57.1446341
"Ground Floor Left,  194 Holburn Street",Aberdeen,AB10 6DA,Airyhall/Broomhill/Garthdee,1,1,1,575,50,Flat,CT Band B,EPC band C,,-2.1142416,57.138626
125 Anderson Drive,Aberdeen,AB15 6BG,Hazlehead/Queens Cross/Countesswells,4,2,4,1500,330,House Detached,CT Band H,EPC band E,Parking,-2.143854,57.141288
69 Laurel Avenue,Aberdeen,AB22 8QH,Dyce/Bucksburn/Danestone,3,1,2,750,88,House Detached,CT Band E,EPC band D,Parking,-2.1251055,57.1783544
24 Thorngrove Place,Aberdeen,AB15 7FJ,Airyhall/Broomhill/Garthdee,2,1,1,550,60,Flat,CT Band E,EPC band C,Parking,-2.1384372,57.1331549
"Top floor flat, 12 West Glendale Mews,  Union Glen",Aberdeen,AB11 6FR,Torry/Ferryhill,1,1,1,500,58,Flat,CT Band C,EPC band D,Parking,-2.1126473,57.1409491
3 Caledonian Court,Aberdeen,AB11 6RG,Torry/Ferryhill,2,2,1,850,88,Flat,CT Band E,EPC band E,Parking,-2.10169767,57.13917629
133 Craigton Road,Aberdeen,AB15 7TZ,Airyhall/Broomhill/Garthdee,5,3,3,2300,236,House Detached,CT Band H,EPC band C,Parking,-2.1519015,57.12871596
86 Jesmond Grange,Aberdeen,AB22 8HD,Bridge of Don,2,1,1,650,64,House Terraced,CT Band D,EPC band C,Parking,-2.1246288,57.1961635
312 Hilton Drive,Aberdeen,AB24 4PY,Hilton/Woodside/Stockethill,2,1,1,525,49,Flat,CT Band B,EPC band F,Parking,-2.136742,57.170688
5 Mearns Street,Aberdeen,AB11 5ER,George St/Harbour,2,1,1,495,49,Flat,CT Band C,EPC band C,,-2.089222385,57.14660854
68 Holburn Street,Aberdeen,AB10 6BX,Hazlehead/Queens Cross/Countesswells,2,1,1,750,74,Flat,CT Band C,EPC band D,,-2.113286,57.1414356
3 Gaitside Crescent,Aberdeen,AB10 7EG,Airyhall/Broomhill/Garthdee,4,2,1,950,102,House Semi Detached,CT Band A,EPC band D,Parking,-2.143137865,57.12141234
16 Ferryhill Terrace,Aberdeen,AB11 6SQ,Torry/Ferryhill,1,1,1,425,39,Flat,CT Band A,EPC band E,,-2.102424,57.13946
"5 Dempsey Court, Queens Lane North",Aberdeen,AB15 4DY,Hazlehead/Queens Cross/Countesswells,2,2,1,1000,101,Flat,CT Band F,EPC band B,Parking,-2.1286123,57.1437342
32 Ferguson Court,Aberdeen,AB21 9AG,Dyce/Bucksburn/Danestone,2,1,1,550,59,Flat,CT Band B,EPC band E,Parking,-2.1686741,57.1778083
"Flat A,  51 Marischal Street",Aberdeen,AB11 5AB,George St/Harbour,1,1,1,390,56,Flat,CT Band A,EPC band C,,-2.091930269,57.1467474
"Flat B,  10 Spital",Aberdeen,AB24 3HS,George St/Harbour,1,1,1,400,43,Flat,CT Band B,EPC band C,,-2.09911,57.1576349
78 Shaw Crescent,Aberdeen,AB25 3BU,Midstocket/Rosemount,2,2,1,700,78,Flat,CT Band D,EPC band B,Parking,-2.1234401,57.1575037
45 Nelson Street,Aberdeen,AB24 5ER,George St/Harbour,2,1,1,650,74,Flat,CT Band C,EPC band D,Parking,-2.097859811,57.15414632
"Flat 8,  30 Orchard Street",Aberdeen,AB24 3DD,Tillydrone/Seaton/Old Aberdeen,2,1,1,550,54,Flat,CT Band D,EPC band D,Parking,-2.0993624,57.1609501
41 Craigieburn Park,Aberdeen,AB15 7SG,Hazlehead/Queens Cross/Countesswells,2,2,1,725,72,Flat,CT Band F,EPC band F,,-2.154123,57.135095
134 Hardgate,Aberdeen,AB11 6YU,Torry/Ferryhill,2,1,1,500,44,Flat,CT Band B,EPC band C,Parking,-2.1112644,57.139542
3 Headland Court,Aberdeen,AB10 7HL,Airyhall/Broomhill/Garthdee,2,1,1,550,49,Flat,CT Band B,EPC band D,Parking,-2.1242238,57.1263966
41 Nellfield Place,Aberdeen,AB10 6DH,Airyhall/Broomhill/Garthdee,1,1,1,475,36,Flat,CT Band A,EPC band D,,-2.117622,57.138369
44 Esslemont Avenue,Aberdeen,AB25 1SQ,Midstocket/Rosemount,1,1,1,450,35,Flat,CT Band A,EPC band E,,-2.115671,57.148602
8A Watson Street,Aberdeen,AB25 2QD,Midstocket/Rosemount,1,1,1,475,44,Flat,CT Band C,EPC band D,,-2.1176139,57.1500854
"37 Glendale Mews, Union Glen",Aberdeen,AB11 6FN,Torry/Ferryhill,2,1,1,575,60,Flat,CT Band D,EPC band C,Parking,-2.1100385,57.1410962
105 Bannermill Place,Aberdeen,AB24 5EE,George St/Harbour,2,1,1,695,75,Flat,CT Band D,EPC band B,Parking,-2.085268,57.15124
127 Willowpark Crescent,Aberdeen,AB16 6XU,Kingswells/Sheddocksley/Summerhill,2,1,1,650,77,House Terraced,CT Band A,EPC band D,,-2.1518108,57.1554532
57F Rose Street,Aberdeen,AB10 1UB,Midstocket/Rosemount,1,1,1,450,48,Flat,CT Band C,EPC band E,Parking,-2.1122593,57.1452154
217 Clifton Road,Aberdeen,AB24 4ET,Hilton/Woodside/Stockethill,3,1,2,750,88,Flat,CT Band C,EPC band D,,-2.123921,57.1666574
60F Walker Road,Aberdeen,AB11 8BP,Torry/Ferryhill,2,1,1,395,48,Flat,CT Band A,EPC band F,Parking,-2.0879083,57.1373333
41B Regent Walk,Aberdeen,AB24 1SX,Tillydrone/Seaton/Old Aberdeen,2,1,1,650,58,Flat,CT Band D,EPC band C,Parking,-2.0962146,57.1646498
10 Richmond Terrace,Aberdeen,AB25 2RL,Midstocket/Rosemount,2,1,1,550,45,Flat,CT Band B,EPC band E,,-2.114026,57.151128
"GFR,  238 Victoria Road",Aberdeen,AB11 9NS,Torry/Ferryhill,1,1,1,400,49,Flat,CT Band A,EPC band D,,-2.0781909,57.1365973
5 Springbank Terrace,Aberdeen,AB11 6LS,Torry/Ferryhill,3,2,1,850,113,Flat,CT Band D,EPC band C,,-2.10234,57.1409611
80 Hazlehead Terrace,Aberdeen,AB15 8EB,Hazlehead/Queens Cross/Countesswells,2,1,1,625,73,House Terraced,CT Band C,EPC band C,Parking,-2.174317,57.143243
74 Dee Street,Aberdeen,AB11 6DS,Torry/Ferryhill,1,1,1,450,53,Flat,CT Band B,EPC band C,,-2.1031976,57.1422797
23A Forbes Street,Aberdeen,AB25 2UG,Midstocket/Rosemount,1,1,1,425,37,Flat,CT Band A,EPC band D,,-2.111539875,57.15156697
25 Grandholm Grove,Aberdeen,AB22 8AX,Dyce/Bucksburn/Danestone,5,3,3,1500,268,House Detached,CT Band F,EPC band C,Parking,-2.1179002,57.173815
"Flat 21,  118 Rosemount Viaduct",Aberdeen,AB25 1NU,Midstocket/Rosemount,3,2,1,695,83,Flat,CT Band B,EPC band C,,-2.110146984,57.14902847
"Flat 42,  108 Rosemount Viaduct",Aberdeen,AB25 1NX,Midstocket/Rosemount,2,2,1,575,71,Flat,CT Band C,EPC band F,,-2.110004785,57.1488815
"Flat 2,  44 Gilcomston Park",Aberdeen,AB25 1PL,Midstocket/Rosemount,1,1,1,525,41,Flat,CT Band A,EPC band F,,-2.109285208,57.14901444
"Flat 2,  44 Gilcomston Park",Aberdeen,AB25 1PL,Midstocket/Rosemount,1,1,1,525,41,Flat,CT Band B,EPC band F,,-2.109285208,57.14901444
"Flat 12,  108 Rosemount Viaduct",Aberdeen,AB25 1NX,Midstocket/Rosemount,3,2,1,695,84,Flat,CT Band C,EPC band E,,-2.110066154,57.14899231
24 Mill Court,Aberdeen,AB24 2UN,Tillydrone/Seaton/Old Aberdeen,2,1,1,475,57,Flat,CT Band C,EPC band D,Parking,-2.133043639,57.17367524
"39B McDonald Court,  Froghall Terrace",Aberdeen,AB24 3JP,George St/Harbour,1,1,1,425,43,Flat,CT Band A,EPC band E,Parking,-2.103962,57.157425
11 Wallfield Place,Aberdeen,AB25 2JS,Midstocket/Rosemount,1,1,1,495,44,Flat,CT Band A,EPC band D,,-2.1197143,57.1490646
"Flat D,  9 Printfield Terrace",Aberdeen,AB24 4AL,Hilton/Woodside/Stockethill,3,1,1,750,77,Flat,CT Band B,EPC band C,,-2.123189,57.1673899
132 Urquhart Road,Aberdeen,AB24 5DN,George St/Harbour,2,2,1,750,71,Flat,CT Band D,EPC band C,Parking,-2.0866724,57.154809
380 Great Western Road,Aberdeen,AB10 6PH,Hazlehead/Queens Cross/Countesswells,6,2,3,1800,234,House Semi Detached,CT Band G,EPC band E,Parking,-2.128844,57.134495
55 Gallowhill Terrace,Aberdeen,AB21 7NH,Dyce/Bucksburn/Danestone,1,1,1,450,49,Flat,CT Band A,EPC band D,Parking,-2.1735488,57.2071846
33L Fraser Road,Aberdeen,AB25 3UE,George St/Harbour,2,2,1,580,66,Flat,CT Band D,EPC band B,Parking,-2.109706,57.1553891
107 Spring Garden,Aberdeen,AB25 1DG,George St/Harbour,2,1,1,650,47,Flat,CT Band C,EPC band C,Parking,-2.1011956,57.1527979
39 Mugiemoss Place,Aberdeen,AB21 9NZ,Dyce/Bucksburn/Danestone,3,1,1,875,75,House Terraced,CT Band D,EPC band B,Parking,-2.1650056,57.1784598
22D Justice Mill Brae,Aberdeen,AB11 6EY,Torry/Ferryhill,2,1,1,580,64,Flat,CT Band D,EPC band C,Parking,-2.1114929,57.1412102
3 Fraser Street,Aberdeen,AB25 3XT,George St/Harbour,2,1,1,425,41,Flat,CT Band A,EPC band D,,-2.1084086,57.1557471
18 Collieston Path,Aberdeen,AB22 8LY,Bridge of Don,1,1,1,550,42,House Terraced,CT Band B,EPC band C,Parking,-2.1108161,57.1910734
"Flat E,  50 Esslemont Avenue",Aberdeen,AB25 1SQ,Midstocket/Rosemount,1,1,1,375,36,Flat,CT Band A,EPC band D,,-2.1158489,57.1489986
145 Oakhill Grange,Aberdeen,AB15 5EA,Midstocket/Rosemount,3,3,1,1800,148,House Terraced,CT Band B,EPC band B,Parking,-2.141065,57.1483996
267c Westburn Road,Aberdeen,AB25 2QH,Midstocket/Rosemount,1,1,1,450,60,Flat,CT Band C,EPC band B,Parking,-2.1317345,57.1522221
207 Headland Court,Aberdeen,AB10 7HZ,Airyhall/Broomhill/Garthdee,1,1,1,475,38,Flat,CT Band B,EPC band C,Parking,-2.122975363,57.1254961
"Top Right,  17 Hartington Road",Aberdeen,AB10 6XT,Hazlehead/Queens Cross/Countesswells,1,1,1,500,43,Flat,CT Band B,EPC band E,,-2.1226126,57.1409064
59 Bloomfield Court,Aberdeen,AB10 6DS,Torry/Ferryhill,2,1,1,625,55,Flat,CT Band D,EPC band C,Parking,-2.1120343,57.1352384
"Flat E,  52 Erroll Street",Aberdeen,AB24 5PP,George St/Harbour,2,1,1,550,57,Flat,CT Band C,EPC band C,Parking,-2.0925067,57.1569944
19 Bannermill Place,Aberdeen,AB24 5EA,George St/Harbour,2,1,1,599,65,Flat,CT Band D,EPC band C,Parking,-2.0854683,57.1521834
102 Golf Road,Aberdeen,AB24 1RG,Tillydrone/Seaton/Old Aberdeen,2,1,1,750,78,Flat,CT Band B,EPC band D,,-2.0874553,57.1641847
5 Belgrave Terrace,Aberdeen,AB25 2NR,Midstocket/Rosemount,1,1,1,500,45,Flat,CT Band A,EPC band D,,-2.1172429,57.1487875
116 Burnside Road,Aberdeen,AB21 7HA,Dyce/Bucksburn/Danestone,4,2,2,995,125,House Semi Detached,CT Band F,EPC band B,Parking,-2.1800681,57.1999492
"FFR,  127 Union Grove",Aberdeen,AB10 6SN,Hazlehead/Queens Cross/Countesswells,1,1,1,475,49,Flat,CT Band B,EPC band D,,-2.1185631,57.1409009
25 Strawberry Bank Parade,Aberdeen,AB11 6US,Torry/Ferryhill,2,1,1,650,53,Flat,CT Band D,EPC band C,Parking,-2.108876,57.142059
"Flat 3,  1A Golden Square",Aberdeen,AB10 1RD,Midstocket/Rosemount,2,2,1,975,96,Flat,CT Band D,EPC band C,Parking,-2.10452,57.1456309
77 McIntosh Crescent,Aberdeen,AB21 7AF,Dyce/Bucksburn/Danestone,2,2,1,700,71,Flat,CT Band D,EPC band C,Parking,-2.1899837,57.2125904
"Flat 25, Ogilvie Buildings,  77 Dee Street",Aberdeen,AB11 6FF,Torry/Ferryhill,1,1,1,475,50,Flat,CT Band C,EPC band C,,-2.102821,57.1420221
31 Burnside Walk,Aberdeen,AB21 7HD,Dyce/Bucksburn/Danestone,3,2,1,995,89,House Terraced,CT Band B,EPC band B,Parking,-2.1776067,57.2004586
22 Bridge Street,Aberdeen,AB11 6JJ,Torry/Ferryhill,2,1,1,500,82,Flat,CT Band C,EPC band G,,-2.101597,57.144967
13 Roslin Street,Aberdeen,AB24 5NT,George St/Harbour,1,1,1,375,37,Flat,CT Band A,EPC band C,,-2.090233,57.154112
"Flat d,  58 Erroll Street",Aberdeen,AB24 5PP,George St/Harbour,2,1,1,495,60,Flat,CT Band C,EPC band C,Parking,-2.092819,57.1569571
"26 & A Half,  Bank Street",Aberdeen,AB11 7SX,Torry/Ferryhill,2,1,1,700,73,House Detached,CT Band E,EPC band E,,-2.0988362,57.1381626
6 Erskine Street,Aberdeen,AB24 3NQ,George St/Harbour,2,1,2,795,82,Flat,CT Band D,EPC band D,,-2.1108682,57.1594329
177c Hardgate,Aberdeen,AB11 6YB,Torry/Ferryhill,1,1,1,425,34,Flat,CT Band A,EPC band D,,-2.1126167,57.1379455
"11 Sillerton House,  16 Albyn Terrace",Aberdeen,AB10 1YP,Hazlehead/Queens Cross/Countesswells,2,1,1,650,70,Flat,CT Band E,EPC band C,Parking,-2.1233248,57.1433378
"Albany Court,  19 Gordon Street",Aberdeen,AB11 6FG,Torry/Ferryhill,2,1,1,550,61,Flat,CT Band D,EPC band C,Parking,-2.1043401,57.1428666
37k Kings Gate,Aberdeen,AB15 4EL,Hazlehead/Queens Cross/Countesswells,2,2,1,725,68,Flat,CT Band E,EPC band B,Parking,-2.133515,57.146976
43 Victoria Street,Aberdeen,AB10 1UX,Midstocket/Rosemount,1,1,1,550,43,Flat,CT Band C,EPC band C,Parking,-2.114412,57.1449676
79 Bedford Road,Aberdeen,AB24 3LN,Tillydrone/Seaton/Old Aberdeen,4,1,1,960,100,House Semi Detached,CT Band E,EPC band E,Parking,-2.1086031,57.1627885
39 Grandholm Crescent,Aberdeen,AB22 8AY,Dyce/Bucksburn/Danestone,4,2,2,1000,168,House Terraced,CT Band F,EPC band C,Parking,-2.122287,57.176904
19 Cloverleaf Grange,Aberdeen,AB21 9FH,Dyce/Bucksburn/Danestone,2,1,1,575,54,Flat,CT Band C,EPC band B,Parking,-2.185757877,57.17803062
20 Cloverleaf Grange,Aberdeen,AB21 9FH,Dyce/Bucksburn/Danestone,2,1,1,575,54,Flat,CT Band C,EPC band B,Parking,-2.1861012,57.1753322
"Flat B,  11 King's Gate",Aberdeen,AB15 4EL,Hazlehead/Queens Cross/Countesswells,2,1,1,795,102,Flat,CT Band F,EPC band E,Parking,-2.1313675,57.1474834
52 Merkland Lane,Aberdeen,AB24 5RN,George St/Harbour,2,2,1,675,62,Flat,CT Band D,EPC band C,Parking,-2.092558,57.158332
